id,fecha,partido,equipo_local,equipo_visitante,hora_inicio,estadio,abridor_local,era_local,abridor_visitante,era_visitante,mercado,ganador_proyectado,probabilidad_local,probabilidad_visitante,diferencia_probabilidad,solidez_modelo,marcador_proyectado,evaluacion,estado,generado_en,version_modelo,estado_es,evaluacion_es,mercado_es,total_carreras_esperadas,linea_mercado_ou,lado_recomendado_ou,probabilidad_over_ou,probabilidad_under_ou,origen_linea_ou
823349,2026-08-07,New York Mets @ Pittsburgh Pirates,Pittsburgh Pirates,New York Mets,2026-08-07,PNC Park,Carmen Mlodzinski,3.15,Zac Thornton,2.88,Ganador del partido,New York Mets,43.4%,56.6%,13.2%,62.93,N/A,⭐ Partido cerrado,READY,2026-08-06T23:58:03.992507,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823349,2026-08-07,New York Mets @ Pittsburgh Pirates,Pittsburgh Pirates,New York Mets,2026-08-07,PNC Park,Carmen Mlodzinski,3.15,Zac Thornton,2.88,Más/Menos carreras,N/A,50.2%,49.8%,0.4%,35.76,N/A,⭐ Partido cerrado,READY,2026-08-06T23:58:03.992507,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,6.17,6.0,OVER,50.2,49.8,MODEL
823428,2026-08-07,Toronto Blue Jays @ Philadelphia Phillies,Philadelphia Phillies,Toronto Blue Jays,2026-08-07,Citizens Bank Park,Zack Wheeler,2.49,José Soriano,3.29,Ganador del partido,Philadelphia Phillies,55.4%,44.6%,10.9%,60.59,N/A,⭐ Partido cerrado,READY,2026-08-06T23:58:04.247935,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823428,2026-08-07,Toronto Blue Jays @ Philadelphia Phillies,Philadelphia Phillies,Toronto Blue Jays,2026-08-07,Citizens Bank Park,Zack Wheeler,2.49,José Soriano,3.29,Más/Menos carreras,N/A,43.2%,56.8%,13.6%,70.74,N/A,⭐⭐⭐ Ligera ventaja,READY,2026-08-06T23:58:04.249515,1.0.0,Listo para analizar,⭐⭐⭐ Ligera ventaja,Más/Menos carreras,5.81,6.0,UNDER,43.2,56.8,MODEL
822699,2026-08-07,Cincinnati Reds @ Washington Nationals,Washington Nationals,Cincinnati Reds,2026-08-07,Nationals Park,Cade Cavalli,0.0,TBD (AWAY),0.0,Ganador del partido,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WAITING_FOR_STARTER,2026-08-06T23:58:04.399617,1.0.0,Esperando abridor,N/A,Ganador del partido,,,,,,
822699,2026-08-07,Cincinnati Reds @ Washington Nationals,Washington Nationals,Cincinnati Reds,2026-08-07,Nationals Park,Cade Cavalli,0.0,TBD (AWAY),0.0,Más/Menos carreras,N/A,N/A,N/A,N/A,N/A,N/A,N/A,WAITING_FOR_STARTER,2026-08-06T23:58:04.399617,1.0.0,Esperando abridor,N/A,Más/Menos carreras,,,,,,
823515,2026-08-07,Atlanta Braves @ New York Yankees,New York Yankees,Atlanta Braves,2026-08-07,Yankee Stadium,Max Fried,3.12,Tyler Mahle,5.13,Ganador del partido,New York Yankees,51.5%,48.5%,3.0%,44.72,N/A,⭐ Partido cerrado,READY,2026-08-06T23:58:04.560065,1.0.0,Listo para analizar,⭐ Partido cerrado,Ganador del partido,,,,,,
823515,2026-08-07,Atlanta Braves @ New York Yankees,New York Yankees,Atlanta Braves,2026-08-07,Yankee Stadium,Max Fried,3.12,Tyler Mahle,5.13,Más/Menos carreras,N/A,50.8%,49.2%,1.6%,43.44,N/A,⭐ Partido cerrado,READY,2026-08-06T23:58:04.560065,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,7.21,7.0,OVER,50.8,49.2,MODEL
824727,2026-08-07,Athletics @ Boston Red Sox,Boston Red Sox,Athletics,2026-08-07,Fenway Park,Payton Tolle,3.3,Jack Perkins,6.72,Ganador del partido,Boston Red Sox,78.0%,22.0%,56.0%,88.27,N/A,⭐⭐⭐⭐⭐ Favorito fuerte,READY,2026-08-06T23:58:04.715742,1.0.0,Listo para analizar,⭐⭐⭐⭐⭐ Favorito fuerte,Ganador del partido,,,,,,
824727,2026-08-07,Athletics @ Boston Red Sox,Boston Red Sox,Athletics,2026-08-07,Fenway Park,Payton Tolle,3.3,Jack Perkins,6.72,Más/Menos carreras,N/A,49.9%,50.1%,0.2%,42.88,N/A,⭐ Partido cerrado,READY,2026-08-06T23:58:04.715742,1.0.0,Listo para analizar,⭐ Partido cerrado,Más/Menos carreras,9.66,9.5,UNDER,49.9,50.1,MODEL
